ID,TYPE,USER,GENDER,AGE,name
1,1,1,MALE,25,s3://pguevara-bdcc2022/mask_project/medical-masks-part1/images/000001_1_000001_MALE_25.jpg
1,4,1,MALE,25,s3://pguevara-bdcc2022/mask_project/medical-masks-part1/images/000001_4_000001_MALE_25.jpg
2,1,2,MALE,23,s3://pguevara-bdcc2022/mask_project/medical-masks-part1/images/000002_1_000002_MALE_23.jpg
2,2,2,MALE,23,s3://pguevara-bdcc2022/mask_project/medical-masks-part1/images/000002_2_000002_MALE_23.jpg
2,3,2,MALE,23,s3://pguevara-bdcc2022/mask_project/medical-masks-part1/images/000002_3_000002_MALE_23.jpg
2,4,2,MALE,23,s3://pguevara-bdcc2022/mask_project/medical-masks-part1/images/000002_4_000002_MALE_23.jpg
3,1,3,FEMALE,22,s3://pguevara-bdcc2022/mask_project/medical-masks-part1/images/000003_1_000003_FEMALE_22.jpg
3,3,3,FEMALE,22,s3://pguevara-bdcc2022/mask_project/medical-masks-part1/images/000003_3_000003_FEMALE_22.jpg
4,2,4,FEMALE,25,s3://pguevara-bdcc2022/mask_project/medical-masks-part1/images/000004_2_000004_FEMALE_25.jpg
5,4,5,MALE,67,s3://pguevara-bdcc2022/mask_project/medical-masks-part1/images/000005_4_000005_MALE_67.jpg
6,1,6,MALE,28,s3://pguevara-bdcc2022/mask_project/medical-masks-part1/images/000006_1_000006_MALE_28.jpg
6,4,6,MALE,28,s3://pguevara-bdcc2022/mask_project/medical-masks-part1/images/000006_4_000006_MALE_28.jpg
7,2,7,MALE,44,s3://pguevara-bdcc2022/mask_project/medical-masks-part1/images/000007_2_000007_MALE_44.jpg
7,3,7,MALE,44,s3://pguevara-bdcc2022/mask_project/medical-masks-part1/images/000007_3_000007_MALE_44.jpg
7,4,7,MALE,44,s3://pguevara-bdcc2022/mask_project/medical-masks-part1/images/000007_4_000007_MALE_44.jpg
8,1,8,MALE,30,s3://pguevara-bdcc2022/mask_project/medical-masks-part1/images/000008_1_000008_MALE_30.jpg
8,3,8,MALE,30,s3://pguevara-bdcc2022/mask_project/medical-masks-part1/images/000008_3_000008_MALE_30.jpg
9,1,9,MALE,23,s3://pguevara-bdcc2022/mask_project/medical-masks-part1/images/000009_1_000009_MALE_23.jpg
10,1,10,MALE,24,s3://pguevara-bdcc2022/mask_project/medical-masks-part1/images/000010_1_000010_MALE_24.jpg
10,2,10,MALE,24,s3://pguevara-bdcc2022/mask_project/medical-masks-part1/images/000010_2_000010_MALE_24.jpg
11,1,11,NONE,37,s3://pguevara-bdcc2022/mask_project/medical-masks-part1/images/000011_1_000011_NONE_37.jpg
11,3,11,NONE,37,s3://pguevara-bdcc2022/mask_project/medical-masks-part1/images/000011_3_000011_NONE_37.jpg
12,1,12,MALE,20,s3://pguevara-bdcc2022/mask_project/medical-masks-part1/images/000012_1_000012_MALE_20.jpg
12,2,12,MALE,20,s3://pguevara-bdcc2022/mask_project/medical-masks-part1/images/000012_2_000012_MALE_20.jpg
12,3,12,MALE,20,s3://pguevara-bdcc2022/mask_project/medical-masks-part1/images/000012_3_000012_MALE_20.jpg
13,2,13,MALE,27,s3://pguevara-bdcc2022/mask_project/medical-masks-part1/images/000013_2_000013_MALE_27.jpg
13,3,13,MALE,27,s3://pguevara-bdcc2022/mask_project/medical-masks-part1/images/000013_3_000013_MALE_27.jpg
14,1,14,MALE,27,s3://pguevara-bdcc2022/mask_project/medical-masks-part1/images/000014_1_000014_MALE_27.jpg
14,3,14,MALE,27,s3://pguevara-bdcc2022/mask_project/medical-masks-part1/images/000014_3_000014_MALE_27.jpg
15,2,15,FEMALE,31,s3://pguevara-bdcc2022/mask_project/medical-masks-part1/images/000015_2_000015_FEMALE_31.jpg
15,3,15,FEMALE,31,s3://pguevara-bdcc2022/mask_project/medical-masks-part1/images/000015_3_000015_FEMALE_31.jpg
15,4,15,FEMALE,31,s3://pguevara-bdcc2022/mask_project/medical-masks-part1/images/000015_4_000015_FEMALE_31.jpg
16,1,16,MALE,33,s3://pguevara-bdcc2022/mask_project/medical-masks-part1/images/000016_1_000016_MALE_33.jpg
16,2,16,MALE,33,s3://pguevara-bdcc2022/mask_project/medical-masks-part1/images/000016_2_000016_MALE_33.jpg
16,3,16,MALE,33,s3://pguevara-bdcc2022/mask_project/medical-masks-part1/images/000016_3_000016_MALE_33.jpg
16,4,16,MALE,33,s3://pguevara-bdcc2022/mask_project/medical-masks-part1/images/000016_4_000016_MALE_33.jpg
17,1,17,MALE,27,s3://pguevara-bdcc2022/mask_project/medical-masks-part1/images/000017_1_000017_MALE_27.jpg
17,2,17,MALE,27,s3://pguevara-bdcc2022/mask_project/medical-masks-part1/images/000017_2_000017_MALE_27.jpg
17,3,17,MALE,27,s3://pguevara-bdcc2022/mask_project/medical-masks-part1/images/000017_3_000017_MALE_27.jpg
18,1,18,MALE,34,s3://pguevara-bdcc2022/mask_project/medical-masks-part1/images/000018_1_000018_MALE_34.jpg
18,3,18,MALE,34,s3://pguevara-bdcc2022/mask_project/medical-masks-part1/images/000018_3_000018_MALE_34.jpg
18,4,18,MALE,34,s3://pguevara-bdcc2022/mask_project/medical-masks-part1/images/000018_4_000018_MALE_34.jpg
19,1,19,MALE,33,s3://pguevara-bdcc2022/mask_project/medical-masks-part1/images/000019_1_000019_MALE_33.jpg
19,2,19,MALE,33,s3://pguevara-bdcc2022/mask_project/medical-masks-part1/images/000019_2_000019_MALE_33.jpg
19,4,19,MALE,33,s3://pguevara-bdcc2022/mask_project/medical-masks-part1/images/000019_4_000019_MALE_33.jpg
